Cores;Input Size;Time;Time MCSTL;Workpakets
8;100000000;2.54561;2.28023;8
8;100000000;2.39695;2.16561;8
8;100000000;2.13731;2.38014;8
8;100000000;2.4028;2.36222;8
8;100000000;2.13725;2.51676;8
8;100000000;2.17983;2.14007;8
8;100000000;2.13211;2.73926;8
8;100000000;2.12574;2.55948;8
8;100000000;2.4329;2.16565;8
8;100000000;2.70996;2.17897;8
8;100000000;2.12503;2.36458;8
8;100000000;2.14095;2.16962;8
8;100000000;2.37698;2.15339;8
8;100000000;2.19008;2.33746;8
8;100000000;2.13103;2.28453;8
8;100000000;2.57488;2.33147;8
8;100000000;2.50203;2.12106;8
8;100000000;2.42307;2.52256;8
8;100000000;2.15003;2.42241;8
8;100000000;2.36908;2.71447;8
8;100000000;2.1443;2.48622;8
8;100000000;2.42365;2.1721;8
8;100000000;2.14478;2.37007;8
8;100000000;2.126;2.56318;8
8;100000000;2.14389;2.37275;8
8;100000000;2.12228;2.47726;8
8;100000000;2.13498;2.23995;8
8;100000000;2.4014;2.17853;8
8;100000000;2.4156;2.64071;8
8;100000000;2.14678;2.18001;8
8;100000000;2.12276;2.38482;8
8;100000000;2.16017;2.54146;8
8;100000000;2.37622;2.17441;8
8;100000000;2.65428;2.18264;8
8;100000000;2.1304;2.17874;8
8;100000000;2.13241;2.21666;8
8;100000000;2.14469;2.35749;8
8;100000000;2.46061;2.18688;8
8;100000000;2.15772;2.15925;8
8;100000000;2.14556;2.50829;8
8;100000000;2.24206;2.1877;8
8;100000000;2.54098;2.2986;8
